Reference, Value, Footprint, Datasheet
"U2","W65C51","Package_DIP:DIP-28_W15.24mm_Socket","http://www.ti.com/lit/ds/symlink/sn74ls139a.pdf"
"U3","W65C22","Package_DIP:DIP-40_W15.24mm_Socket","http://www.ti.com/lit/ds/symlink/sn74ls139a.pdf"
"C3","0.1u","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"C4","0.1u","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"J3","PIO-A","Connector_PinHeader_2.54mm:PinHeader_2x07_P2.54mm_Vertical","~"
"J4","PIO-B","Connector_PinHeader_2.54mm:PinHeader_2x07_P2.54mm_Vertical","~"
"J2","232C CON","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Horizontal","~"
"J1","SBC6303 BUS","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Horizontal","~"
"U1","74LS138","Package_DIP:DIP-16_W7.62mm_Socket","http://www.ti.com/lit/gpn/sn74LS138"
"C1","0.1u","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"Y1","1.8432MHz","Crystal:Crystal_HC49-U_Vertical","~"
"R1","1M","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","~"
"C2","22p","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","~"
"JP3","$8000 JP","Jumper:SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm","~"
"JP1","$A000 JP","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
"JP2","$E000 JP","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
"JP4","CLK JP","Jumper:SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm","~"
"JP5","EXT CLK JP","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
"H1","MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
"H2","MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
"H3","MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
"H4","MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
